IP地址,端口,TLS,数据中心,源IP位置,地区,城市,地区(中文),国家,城市(中文),国旗,网络延迟,下载速度
47.130.116.139,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,107 ms,8670 kB/s
8.219.54.136,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,216 ms,6207 kB/s
8.222.162.205,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,231 ms,6140 kB/s
8.219.198.241,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,226 ms,5831 kB/s
168.110.48.180,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,255 ms,5780 kB/s
8.219.88.178,51898,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,234 ms,5713 kB/s
139.177.185.196,74,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,257 ms,5520 kB/s
165.232.163.215,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,265 ms,5509 kB/s
47.236.71.6,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,228 ms,4725 kB/s
159.223.68.162,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,268 ms,4575 kB/s
20.191.143.151,8080,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,152 ms,4573 kB/s
84.247.146.233,7443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,264 ms,4504 kB/s
152.42.236.151,2053,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,290 ms,4446 kB/s
84.247.149.237,7443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,183 ms,4426 kB/s
193.123.241.127,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,252 ms,4372 kB/s
152.67.194.140,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,242 ms,4366 kB/s
209.97.172.130,8080,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,260 ms,4342 kB/s
129.154.200.133,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,251 ms,4327 kB/s
155.248.187.80,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,246 ms,4135 kB/s
94.74.83.173,45069,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,106 ms,4076 kB/s
152.42.241.71,8443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,263 ms,3949 kB/s
130.162.133.149,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,262 ms,3929 kB/s
160.22.79.166,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,260 ms,3923 kB/s
167.172.88.191,444,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,263 ms,3898 kB/s
188.166.182.46,8888,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,254 ms,3664 kB/s
167.172.65.150,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,287 ms,3595 kB/s
101.132.172.172,10443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,43 ms,22500 kB/s
45.136.253.18,33273,TRUE,SG,TH,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,167 ms,2929 kB/s
101.32.168.155,28443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,103 ms,1460 kB/s
47.236.71.60,28443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,226 ms,5234 kB/s
146.190.192.201,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,264 ms,5010 kB/s
84.247.150.2,7443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,195 ms,4330 kB/s
146.56.185.174,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,265 ms,4160 kB/s
47.236.7.141,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,228 ms,3887 kB/s
38.244.147.68,2053,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,291 ms,3836 kB/s
128.199.216.53,443,TRUE,SG,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,273 ms,3572 kB/s
